"TIER 1 ALIAS (max 128 chrs)","TIER 2 ALIAS (max 128 chrs)","TIER 3 ALIAS (max 128 chrs)","TIER 4 ALIAS (max 128 chrs)","DESCRIPTION (OPTIONAL) (max 256 chrs)","IS DISABLED? (enter Yes if disabled)"
"wkt-dsp","","","","Dispute resolution",""
"wkt-dsp","wkt-dsp-1","","","Negotiated dispute resolution",""
"wkt-dsp","wkt-dsp-2","","","Litigation",""
"wkt-dsp","wkt-dsp-3","","","Arbitration",""
"wkt-dsp","wkt-dsp-4","","","Other binding dispute resolution",""
"wkt-opc","","","","Official processes",""
"wkt-opc","wkt-opc-1","","","Investigation",""
"wkt-opc","wkt-opc-2","","","Prosecution",""
"wkt-opc","wkt-opc-3","","","Inquiry",""
"wkt-opc","wkt-opc-4","","","Public policy",""
"wkt-tra","","","","Transactions",""
"wkt-tra","wkt-tra-1","","","Setting-up",""
"wkt-tra","wkt-tra-2","","","Amendment",""
"wkt-tra","wkt-tra-3","","","Transfer (non-M&A)",""
"wkt-tra","wkt-tra-4","","","M&A",""
"wkt-tra","wkt-tra-5","","","Separation",""
"wkt-tra","wkt-tra-6","","","Financing",""
"wkt-dev","","","","Development",""
"wkt-dev","wkt-dev-1","","","Building",""
"wkt-dev","wkt-dev-2","","","Maintenance and updating",""
"wkt-dev","wkt-dev-3","","","Redevelopment / end-of-life",""
"wkt-rep","","","","Administration",""
"wkt-lop","","","","Legal operations",""
"wkt-lop","wkt-lop-1","","","Process improvement",""
"wkt-lop","wkt-lop-2","","","Legal BAU",""
"wkt-lop","wkt-lop-3","","","Knowledge management",""
"wkt-lop","wkt-lop-4","","","Corporate governance",""
"wkt-lop","wkt-lop-5","","","Compliance and risk management",""
"wkt-adv","","","","Advisory",""
"wkt-adv","wkt-adv-1","","","Advice - general",""
"wkt-adv","wkt-adv-2","","","Formal opinion letters",""
